protein_id,accession,selected_identity_percent,selected_query_coverage_percent,selected_evalue,selected_bit_score,quality_tier,exact_identity100_coverage100,status,pdb_file,pdbUrl,latestVersion,uniprotId,uniprotDescription,organismScientificName,isReviewed,globalMetricValue,error_message
432de6dac3155dd3d4df0a5f4a46689f MCSG-APC102434 A-0,Q2IER1,100.0,100.0,5.38e-168,474.0,Q1_near_exact,True,downloaded,3Dstructure\afdb_correct_to_wrong_2500_structures\Q2IER1.pdb,https://alphafold.ebi.ac.uk/files/AF-Q2IER1-F1-model_v6.pdb,6,Q2IER1_ANADE,Sel1,Anaeromyxobacter dehalogenans (strain 2CP-C),False,87.56,
12d162aba3c8e92ed4adbf8fcbd11964 NESG-YR243 A-0,G2WGV8,100.0,100.0,0.0,1114.0,Q1_near_exact,True,downloaded,3Dstructure\afdb_correct_to_wrong_2500_structures\G2WGV8.pdb,https://alphafold.ebi.ac.uk/files/AF-G2WGV8-F1-model_v6.pdb,6,G2WGV8_YEASK,K7_Bit61p,Saccharomyces cerevisiae (strain Kyokai no. 7 / NBRC 101557),False,55.47,
985b664feb123f78aa2dbbda79a2c64d NESG-AR2916 A-0,A0A178WI25,100.0,100.0,0.0,1073.0,Q1_near_exact,True,downloaded,3Dstructure\afdb_correct_to_wrong_2500_structures\A0A178WI25.pdb,https://alphafold.ebi.ac.uk/files/AF-A0A178WI25-F1-model_v6.pdb,6,A0A178WI25_ARATH,"Pentatricopeptide repeat-containing protein At1g13040, mitochondrial",Arabidopsis thaliana,False,84.75,
7b7d66330f111c326f1b4ae0982ebbd2 MCSG-APC41500.0 A-0,B6AKZ1,100.0,100.0,0.0,550.0,Q1_near_exact,True,downloaded,3Dstructure\afdb_correct_to_wrong_2500_structures\B6AKZ1.pdb,https://alphafold.ebi.ac.uk/files/AF-B6AKZ1-F1-model_v6.pdb,6,B6AKZ1_9BACT,Uncharacterized protein,Leptospirillum sp. Group II '5-way CG',False,84.12,
8cf961c52d667a826d54994b15855605 SECSG-Pfu-238451-001 A-0,A0A5C0XMC2,100.0,86.76470588235294,1.99e-32,115.0,Q2_high_confidence,False,downloaded,3Dstructure\afdb_correct_to_wrong_2500_structures\A0A5C0XMC2.pdb,https://alphafold.ebi.ac.uk/files/AF-A0A5C0XMC2-F1-model_v6.pdb,6,A0A5C0XMC2_PYRFU,Uncharacterized protein,Pyrococcus furiosus (strain ATCC 43587 / DSM 3638 / JCM 8422 / Vc1),False,84.44,
617770f5777482d88b2f0b0b99992511 SECSG-Pfu-1611840-001 A-0,A0A5C0XRH1,100.0,93.66197183098592,1.69e-91,270.0,Q2_high_confidence,False,downloaded,3Dstructure\afdb_correct_to_wrong_2500_structures\A0A5C0XRH1.pdb,https://alphafold.ebi.ac.uk/files/AF-A0A5C0XRH1-F1-model_v6.pdb,6,A0A5C0XRH1_PYRFU,Uncharacterized protein,Pyrococcus furiosus (strain ATCC 43587 / DSM 3638 / JCM 8422 / Vc1),False,33.47,
7da6012bf9707171f4690f9cf509c20a JCSG-392452 A-0,Q8NQX4,100.0,100.0,1.41e-66,204.0,Q1_near_exact,True,downloaded,3Dstructure\afdb_correct_to_wrong_2500_structures\Q8NQX4.pdb,https://alphafold.ebi.ac.uk/files/AF-Q8NQX4-F1-model_v6.pdb,6,Q8NQX4_CORGL,Polyketide cyclase,Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / BCRC 11384 / CCUG 27702 / LMG 3730 / NBRC 12168 / NCIMB 10025 / NRRL B-2784 / 534),False,80.62,
bbb5ac18061a2dbcc795690b1cb1c11f SSGCID-BupsA.17422.a A-1,A2S3F8,100.0,91.61676646706587,1.2e-100,296.0,Q2_high_confidence,False,downloaded,3Dstructure\afdb_correct_to_wrong_2500_structures\A2S3F8.pdb,https://alphafold.ebi.ac.uk/files/AF-A2S3F8-F1-model_v6.pdb,6,A2S3F8_BURM9,Spore coat protein U/FanG domain-containing protein,Burkholderia mallei (strain NCTC 10229),False,88.69,
ef5a20f7b351198661cb339f567e3540 NESG-SvR354 A-0,Q827C9,100.0,100.0,3.44e-118,340.0,Q1_near_exact,True,downloaded,3Dstructure\afdb_correct_to_wrong_2500_structures\Q827C9.pdb,https://alphafold.ebi.ac.uk/files/AF-Q827C9-F1-model_v6.pdb,6,Q827C9_STRAW,Polyketide cyclase,Streptomyces avermitilis (strain ATCC 31267 / DSM 46492 / JCM 5070 / NBRC 14893 / NCIMB 12804 / NRRL 8165 / MA-4680),False,87.12,
f4a0ad7f16412e904289b7386e9f2d83 NESG-TfR28 A-0,Q47N13,100.0,100.0,0.0,1468.0,Q1_near_exact,True,downloaded,3Dstructure\afdb_correct_to_wrong_2500_structures\Q47N13.pdb,https://alphafold.ebi.ac.uk/files/AF-Q47N13-F1-model_v6.pdb,6,Q47N13_THEFY,CHAT domain-containing protein,Thermobifida fusca (strain YX),False,85.62,
2b99726e79459842b5a8832c2a29507b MCSG-APC83998 A-0,A0A0Y6NUD0,100.0,100.0,0.0,605.0,Q1_near_exact,True,downloaded,3Dstructure\afdb_correct_to_wrong_2500_structures\A0A0Y6NUD0.pdb,https://alphafold.ebi.ac.uk/files/AF-A0A0Y6NUD0-F1-model_v6.pdb,6,A0A0Y6NUD0_NEIME,Hemagglutinin,Neisseria meningitidis,False,57.97,
d98e6e4689d14b66bbf0eab6adb15a59 SGPP-Tcru000310AAA A-0,Q4CM34,100.0,98.4126984126984,0.0,507.0,Q1_near_exact,False,downloaded,3Dstructure\afdb_correct_to_wrong_2500_structures\Q4CM34.pdb,https://alphafold.ebi.ac.uk/files/AF-Q4CM34-F1-model_v6.pdb,6,Q4CM34_TRYCC,Uncharacterized protein,Trypanosoma cruzi (strain CL Brener),False,52.03,
c94706ad3c2252abe289c02ccb198eef MCSG-APC109373 A-0,K4NYK2,100.0,100.0,0.0,967.0,Q1_near_exact,True,downloaded,3Dstructure\afdb_correct_to_wrong_2500_structures\K4NYK2.pdb,https://alphafold.ebi.ac.uk/files/AF-K4NYK2-F1-model_v6.pdb,6,K4NYK2_9PSEU,Enoyl reductase,Streptoalloteichus sp. ATCC 53650,False,83.25,
55a74e79f77766fda9058895f7f7077b JCSG-360728 A-0,A0A0H3M4H1,100.0,100.0,4.03e-129,369.0,Q1_near_exact,True,downloaded,3Dstructure\afdb_correct_to_wrong_2500_structures\A0A0H3M4H1.pdb,https://alphafold.ebi.ac.uk/files/AF-A0A0H3M4H1-F1-model_v6.pdb,6,A0A0H3M4H1_BARHE,Integral membrane protein,Bartonella henselae (strain ATCC 49882 / DSM 28221 / CCUG 30454 / Houston 1),False,77.88,
1848ad3577d87b10524ffd365c295279 SGPP-Tcru006467AAA A-0,A0A2V2WGM0,100.0,100.0,8.76e-122,349.0,Q1_near_exact,True,downloaded,3Dstructure\afdb_correct_to_wrong_2500_structures\A0A2V2WGM0.pdb,https://alphafold.ebi.ac.uk/files/AF-A0A2V2WGM0-F1-model_v6.pdb,6,A0A2V2WGM0_TRYCR,Zinc finger LSD1-type domain-containing protein,Trypanosoma cruzi,False,63.75,
a552bc0903a7e225f246213d3477baf5 JCSG-416864 A-1,A7B0U3,100.0,100.0,2.88e-60,189.0,Q1_near_exact,True,downloaded,3Dstructure\afdb_correct_to_wrong_2500_structures\A7B0U3.pdb,https://alphafold.ebi.ac.uk/files/AF-A7B0U3-F1-model_v6.pdb,6,A7B0U3_MEDG7,YtxH domain-containing protein,Mediterraneibacter gnavus (strain ATCC 29149 / DSM 114966 / JCM 6515 / VPI C7-9),False,50.59,
eccbea547cdc2d573b5ef2c7b269e50c JCSG-354415 A-0,Q97K57,100.0,100.0,0.0,717.0,Q1_near_exact,True,downloaded,3Dstructure\afdb_correct_to_wrong_2500_structures\Q97K57.pdb,https://alphafold.ebi.ac.uk/files/AF-Q97K57-F1-model_v6.pdb,6,Q97K57_CLOAB,TPR-repeat-containing protein,Clostridium acetobutylicum (strain ATCC 824 / DSM 792 / JCM 1419 / IAM 19013 / LMG 5710 / NBRC 13948 / NRRL B-527 / VKM B-1787 / 2291 / W),False,90.38,
afb207a6af7f4624a2c2b21359ba641b SSGCID-RibeA.17832.b A-0,A0A0F3QC42,100.0,99.30555555555556,8.91e-97,291.0,Q1_near_exact,False,downloaded,3Dstructure\afdb_correct_to_wrong_2500_structures\A0A0F3QC42.pdb,https://alphafold.ebi.ac.uk/files/AF-A0A0F3QC42-F1-model_v6.pdb,6,A0A0F3QC42_RICBE,Outer membrane autotransporter barrel domain protein,Rickettsia bellii str. RML An4,False,86.81,
d712bcff6a8d1d5014c0598b845ebcce MCSG-APC35830 A-0,A0ABM5MJX5,98.925,100.0,0.0,566.0,Q1_near_exact,False,no_afdb_model,3Dstructure\afdb_correct_to_wrong_2500_structures\A0ABM5MJX5.pdb,,,,,,,,AFDB API returned HTTP 404
51dfa93a78f56ca9f4e5d300e81f5b74 SECSG-Pfu-1490333-001 A-0,A0A5C0XR49,100.0,93.07692307692308,3.81e-81,243.0,Q2_high_confidence,False,downloaded,3Dstructure\afdb_correct_to_wrong_2500_structures\A0A5C0XR49.pdb,https://alphafold.ebi.ac.uk/files/AF-A0A5C0XR49-F1-model_v6.pdb,6,A0A5C0XR49_PYRFU,CopY family transcriptional regulator,Pyrococcus furiosus (strain ATCC 43587 / DSM 3638 / JCM 8422 / Vc1),False,90.94,
46a523ed17dbc8d8d513286adc1d6981 SGPP-Pfal005504AAA A-0,A0A2I0BQY9,100.0,100.0,0.0,2219.0,Q1_near_exact,True,downloaded,3Dstructure\afdb_correct_to_wrong_2500_structures\A0A2I0BQY9.pdb,https://alphafold.ebi.ac.uk/files/AF-A0A2I0BQY9-F1-model_v6.pdb,6,A0A2I0BQY9_PLAFO,PRE-binding protein,Plasmodium falciparum (isolate NF54),False,62.19,
e2ced813ade0ebcfbfd155c843791e7a 1OW4_1 A-1,Q8MTC1,100.0,91.47286821705426,1.98e-82,247.0,Q2_high_confidence,False,downloaded,3Dstructure\afdb_correct_to_wrong_2500_structures\Q8MTC1.pdb,https://alphafold.ebi.ac.uk/files/AF-Q8MTC1-F1-model_v6.pdb,6,Q8MTC1_RHYMA,Pheromone binding protein,Rhyparobia maderae,False,89.44,
d7ecf8300cbfdbe14dd4f772076526e5 NESG-MsR151 A-0,A0A653FD65,100.0,100.0,0.0,669.0,Q1_near_exact,True,downloaded,3Dstructure\afdb_correct_to_wrong_2500_structures\A0A653FD65.pdb,https://alphafold.ebi.ac.uk/files/AF-A0A653FD65-F1-model_v6.pdb,6,A0A653FD65_MYCSM,Polyketide cyclase / dehydrase and lipid transport,Mycolicibacterium smegmatis,False,92.5,
92444d22a9abc391f3383e247670a2ed SECSG-Pfu-240581-001 A-0,Q8U465,100.0,87.32394366197182,2.13e-36,125.0,Q2_high_confidence,False,downloaded,3Dstructure\afdb_correct_to_wrong_2500_structures\Q8U465.pdb,https://alphafold.ebi.ac.uk/files/AF-Q8U465-F1-model_v6.pdb,6,Q8U465_PYRFU,Uncharacterized protein,Pyrococcus furiosus (strain ATCC 43587 / DSM 3638 / JCM 8422 / Vc1),False,59.97,
56ac685ea016bf0b1eb0034e8b8715f7 SSGCID-EnhiA.18446.a A-0,A0A5K1UHF3,99.733,100.0,0.0,739.0,Q1_near_exact,False,downloaded,3Dstructure\afdb_correct_to_wrong_2500_structures\A0A5K1UHF3.pdb,https://alphafold.ebi.ac.uk/files/AF-A0A5K1UHF3-F1-model_v6.pdb,6,A0A5K1UHF3_ENTHI,Uncharacterized protein,Entamoeba histolytica,False,36.47,
d6e8a927825637459b2a85ff2c791c34 MCSG-APC21369.1 A-0,A0A2N5NIA8,100.0,89.14728682170544,8.54e-77,242.0,Q2_high_confidence,False,downloaded,3Dstructure\afdb_correct_to_wrong_2500_structures\A0A2N5NIA8.pdb,https://alphafold.ebi.ac.uk/files/AF-A0A2N5NIA8-F1-model_v6.pdb,6,A0A2N5NIA8_MEDGN,Extracellular solute-binding protein,Mediterraneibacter gnavus,False,90.75,
8389a66877fb9c1ceaa215bee695ef80 NESG-FR531 A-0,Q9VPV1,98.938,100.0,0.0,4062.0,Q1_near_exact,False,downloaded,3Dstructure\afdb_correct_to_wrong_2500_structures\Q9VPV1.pdb,https://alphafold.ebi.ac.uk/files/AF-Q9VPV1-F1-model_v6.pdb,6,Q9VPV1_DROME,"Uncharacterized protein, isoform B",Drosophila melanogaster,False,58.31,
50f530bc57df6cc6cb8a4b4e21832ee3 SECSG-Y39A1A.5B A-0,Q9XX20,100.0,100.0,2.14e-84,251.0,Q1_near_exact,True,downloaded,3Dstructure\afdb_correct_to_wrong_2500_structures\Q9XX20.pdb,https://alphafold.ebi.ac.uk/files/AF-Q9XX20-F1-model_v6.pdb,6,Q9XX20_CAEEL,Secreted protein,Caenorhabditis elegans,False,60.19,
b0de057c636810f747b5a4fbc4ac3a97 SECSG-Pfu-39689-001 A-0,I6U8U7,98.246,87.6923076923077,5.29e-22,89.0,Q2_high_confidence,False,downloaded,3Dstructure\afdb_correct_to_wrong_2500_structures\I6U8U7.pdb,https://alphafold.ebi.ac.uk/files/AF-I6U8U7-F1-model_v6.pdb,6,I6U8U7_9EURY,Uncharacterized protein,Pyrococcus furiosus COM1,False,56.72,
fcf4ff8f0b35839659a41874147acb31 JCSG-385491 A-1,A0Q2K4,100.0,100.0,0.0,580.0,Q1_near_exact,True,downloaded,3Dstructure\afdb_correct_to_wrong_2500_structures\A0Q2K4.pdb,https://alphafold.ebi.ac.uk/files/AF-A0Q2K4-F1-model_v6.pdb,6,A0Q2K4_CLONN,VCBS repeat-containing protein,Clostridium novyi (strain NT),False,88.06,
0a1f71293106cdb894476501596bc18a JCSG-421553 A-1,A5Z8M8,100.0,100.0,0.0,1427.0,Q1_near_exact,True,downloaded,3Dstructure\afdb_correct_to_wrong_2500_structures\A5Z8M8.pdb,https://alphafold.ebi.ac.uk/files/AF-A5Z8M8-F1-model_v6.pdb,6,A5Z8M8_9FIRM,LPXTG-motif cell wall anchor domain protein,Eubacterium ventriosum ATCC 27560,False,75.62,
6ee67ef224f19466ca548d6e8f5f7920 MCSG-APC103435 A-0,C6VY73,100.0,100.0,0.0,766.0,Q1_near_exact,True,downloaded,3Dstructure\afdb_correct_to_wrong_2500_structures\C6VY73.pdb,https://alphafold.ebi.ac.uk/files/AF-C6VY73-F1-model_v6.pdb,6,C6VY73_DYAFD,VWFA domain-containing protein,Dyadobacter fermentans (strain ATCC 700827 / DSM 18053 / CIP 107007 / KCTC 52180 / NS114),False,82.44,
3e56fc225e94002d9a7594e54e87b666 4JCV_2 A-1,Q9RW50,99.59,92.0754716981132,9.46e-176,493.0,Q2_high_confidence,False,downloaded,3Dstructure\afdb_correct_to_wrong_2500_structures\Q9RW50.pdb,https://alphafold.ebi.ac.uk/files/AF-Q9RW50-F1-model_v6.pdb,6,Q9RW50_DEIRA,DNA repair protein RecO,Deinococcus radiodurans (strain ATCC 13939 / DSM 20539 / JCM 16871 / CCUG 27074 / LMG 4051 / NBRC 15346 / NCIMB 9279 / VKM B-1422 / R1),False,90.06,
1fe3d87f02417fb29f48a151c64b7532 NYSGRC-004168 A-0,V6TRK3,100.0,100.0,4.29e-180,503.0,Q1_near_exact,True,downloaded,3Dstructure\afdb_correct_to_wrong_2500_structures\V6TRK3.pdb,https://alphafold.ebi.ac.uk/files/AF-V6TRK3-F1-model_v6.pdb,6,V6TRK3_GIAIN,Sorting nexin-3,Giardia intestinalis,False,77.5,
9ffd4510720cfd1d2a17975519702c83 MCSG-APC102538 A-0,A0A1E7PHV2,100.0,100.0,3.24e-14,67.4,Q1_near_exact,True,downloaded,3Dstructure\afdb_correct_to_wrong_2500_structures\A0A1E7PHV2.pdb,https://alphafold.ebi.ac.uk/files/AF-A0A1E7PHV2-F1-model_v6.pdb,6,A0A1E7PHV2_CAMJU,Uncharacterized protein,Campylobacter jejuni,False,89.06,
1ac0a6d381f98488e57b244870403693 SSGCID-NegoA.19194.a A-0,A0AA44UAC5,99.123,100.0,3.26e-73,222.0,Q1_near_exact,False,downloaded,3Dstructure\afdb_correct_to_wrong_2500_structures\A0AA44UAC5.pdb,https://alphafold.ebi.ac.uk/files/AF-A0AA44UAC5-F1-model_v6.pdb,6,A0AA44UAC5_NEIGO,Uncharacterized protein,Neisseria gonorrhoeae 3502,False,41.06,
fc5ed0acd326c50851ce09977f117490 SECSG-858 A-1,A0A6D2WNC1,99.355,98.47522236340534,0.0,1525.0,Q1_near_exact,False,no_afdb_model,3Dstructure\afdb_correct_to_wrong_2500_structures\A0A6D2WNC1.pdb,,,,,,,,AFDB API returned HTTP 404
9e5f69592aae6a0aa799702845296484 MCSG-APC22419 A-0,O67208,99.738,100.0,0.0,746.0,Q1_near_exact,False,downloaded,3Dstructure\afdb_correct_to_wrong_2500_structures\O67208.pdb,https://alphafold.ebi.ac.uk/files/AF-O67208-F1-model_v6.pdb,6,O67208_AQUAE,TolC family protein,Aquifex aeolicus (strain VF5),False,91.56,
9c6a5ae54aa204fd367f93da18d81e1f MCSG-APC104059 A-0,A0A1Z4KTW7,100.0,100.0,0.0,1632.0,Q1_near_exact,True,downloaded,3Dstructure\afdb_correct_to_wrong_2500_structures\A0A1Z4KTW7.pdb,https://alphafold.ebi.ac.uk/files/AF-A0A1Z4KTW7-F1-model_v6.pdb,6,A0A1Z4KTW7_ANAVA,Cas10/Cmr2 second palm domain-containing protein,Trichormus variabilis NIES-23,False,81.31,
9eccaeb53116a1102393a5c4d9fb8b60 SSGCID-EnhiA.17839.a A-0,A0A5K1UEF0,100.0,97.89644012944983,0.0,1135.0,Q1_near_exact,False,downloaded,3Dstructure\afdb_correct_to_wrong_2500_structures\A0A5K1UEF0.pdb,https://alphafold.ebi.ac.uk/files/AF-A0A5K1UEF0-F1-model_v6.pdb,6,A0A5K1UEF0_ENTHI,Hyaluronan mediated motility receptor,Entamoeba histolytica,False,72.75,
b9a8c44ca6e0f06b5ef0ecca45c607b7 6IXP_2 A-1,H0GYC2,100.0,84.61538461538461,5.26e-13,70.5,Q2_high_confidence,False,downloaded,3Dstructure\afdb_correct_to_wrong_2500_structures\H0GYC2.pdb,https://alphafold.ebi.ac.uk/files/AF-H0GYC2-F1-model_v6.pdb,6,H0GYC2_SACCK,Mmr1p,Saccharomyces cerevisiae x Saccharomyces kudriavzevii (strain VIN7),False,53.56,
c987b5d137de2c747477fdc51d584a7b 4TR3_1 A-1,A0A9J7HVL1,96.757,96.8586387434555,2.93e-130,377.0,Q1_near_exact,False,no_afdb_model,3Dstructure\afdb_correct_to_wrong_2500_structures\A0A9J7HVL1.pdb,,,,,,,,AFDB API returned HTTP 404
f578fd117004d9c779dff99b9c641902 6TCT_1 A-1,A0A0H3ADY0,100.0,100.0,1.36e-88,262.0,Q1_near_exact,True,downloaded,3Dstructure\afdb_correct_to_wrong_2500_structures\A0A0H3ADY0.pdb,https://alphafold.ebi.ac.uk/files/AF-A0A0H3ADY0-F1-model_v6.pdb,6,A0A0H3ADY0_VIBC3,Uncharacterized protein,Vibrio cholerae serotype O1 (strain ATCC 39541 / Classical Ogawa 395 / O395),False,95.12,
53320ee8902a5551ccc6ee4e5cfc9fe9 JCSG-379157 A-0,A9WH35,99.296,85.54216867469879,1.45e-98,289.0,Q2_high_confidence,False,downloaded,3Dstructure\afdb_correct_to_wrong_2500_structures\A9WH35.pdb,https://alphafold.ebi.ac.uk/files/AF-A9WH35-F1-model_v6.pdb,6,A9WH35_CHLAA,Pyridoxamine 5'-phosphate oxidase-related FMN-binding,Chloroflexus aurantiacus (strain ATCC 29366 / DSM 635 / J-10-fl),False,82.94,
f03f2b9fcc2b2251ea30833d92bf10da JCSG-354462 A-0,A0A1Z4KND2,100.0,100.0,0.0,1006.0,Q1_near_exact,True,downloaded,3Dstructure\afdb_correct_to_wrong_2500_structures\A0A1Z4KND2.pdb,https://alphafold.ebi.ac.uk/files/AF-A0A1Z4KND2-F1-model_v6.pdb,6,A0A1Z4KND2_ANAVA,DNA phosphorothioation system restriction enzyme,Trichormus variabilis NIES-23,False,83.0,
a9f2d1028145bb67a9d73d0681c26797 MCSG-APC23512 A-0,A0A0F6B3I5,100.0,100.0,0.0,615.0,Q1_near_exact,True,downloaded,3Dstructure\afdb_correct_to_wrong_2500_structures\A0A0F6B3I5.pdb,https://alphafold.ebi.ac.uk/files/AF-A0A0F6B3I5-F1-model_v6.pdb,6,A0A0F6B3I5_SALT1,Putative cytoplasmic protein,Salmonella typhimurium (strain 14028s / SGSC 2262),False,85.31,
754a4b456e5e5e4c79a3c50be7a2988c NYSGRC-033746 A-1,A0A2R9B4W9,99.883,100.0,0.0,1772.0,Q1_near_exact,False,downloaded,3Dstructure\afdb_correct_to_wrong_2500_structures\A0A2R9B4W9.pdb,https://alphafold.ebi.ac.uk/files/AF-A0A2R9B4W9-F1-model_v6.pdb,6,A0A2R9B4W9_PANPA,"RPA1 related single stranded DNA binding protein, X-linked",Pan paniscus,False,73.75,
4de1fdfe07d26cc56db9c6b82a65a47a TB-Rv1434 A-0,A0A0H3M4S9,100.0,100.0,2.49e-22,88.6,Q1_near_exact,True,downloaded,3Dstructure\afdb_correct_to_wrong_2500_structures\A0A0H3M4S9.pdb,https://alphafold.ebi.ac.uk/files/AF-A0A0H3M4S9-F1-model_v6.pdb,6,A0A0H3M4S9_MYCBP,Uncharacterized protein,Mycobacterium bovis (strain BCG / Pasteur 1173P2),False,70.06,
48d191db375f02ee7ca2563c943bc906 SSGCID-RifeA.01656.a A-0,A0A0F3MSF8,100.0,100.0,0.0,1077.0,Q1_near_exact,True,downloaded,3Dstructure\afdb_correct_to_wrong_2500_structures\A0A0F3MSF8.pdb,https://alphafold.ebi.ac.uk/files/AF-A0A0F3MSF8-F1-model_v6.pdb,6,A0A0F3MSF8_RICFI,Putative outer membrane protein A,Rickettsia felis str. Pedreira,False,82.25,
f47ba509573abcca6fcd7aaebfae6d5e SGPP-Lmaj01207AAA A-0,Q4QGA2,100.0,100.0,3.2e-141,404.0,Q1_near_exact,True,downloaded,3Dstructure\afdb_correct_to_wrong_2500_structures\Q4QGA2.pdb,https://alphafold.ebi.ac.uk/files/AF-Q4QGA2-F1-model_v6.pdb,6,Q4QGA2_LEIMA,Coiled-coil domain-containing protein,Leishmania major,False,73.94,
4f349686caae2ace4162a8bfe11832b1 MCSG-APC83934 A-0,Q9JS43,100.0,100.0,3.6e-167,469.0,Q1_near_exact,True,downloaded,3Dstructure\afdb_correct_to_wrong_2500_structures\Q9JS43.pdb,https://alphafold.ebi.ac.uk/files/AF-Q9JS43-F1-model_v6.pdb,6,Q9JS43_NEIMB,Uncharacterized protein,Neisseria meningitidis serogroup B (strain ATCC BAA-335 / MC58),False,27.25,
42db6ec1669ab33f3de423d7c7f67af9 MCSG-APC36092 A-0,Q5KZM6,100.0,100.0,2.4e-58,186.0,Q1_near_exact,True,downloaded,3Dstructure\afdb_correct_to_wrong_2500_structures\Q5KZM6.pdb,https://alphafold.ebi.ac.uk/files/AF-Q5KZM6-F1-model_v6.pdb,6,Q5KZM6_GEOKA,YodL-like family protein,Geobacillus kaustophilus (strain HTA426),False,61.28,
